location,time,variable,value,unit_measure,unit_mult,currency,price_base,reference_year,adjustment,transformation,obs_status,conf_status,base_period,decimals,series_key
AUS,1992-Q1,consumption,129541,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1992-Q2,consumption,130638,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1992-Q3,consumption,130922,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1992-Q4,consumption,131424,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1993-Q1,consumption,131270,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1993-Q2,consumption,132347,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1993-Q3,consumption,132041,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1993-Q4,consumption,134289,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1994-Q1,consumption,135129,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1994-Q2,consumption,135863,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1994-Q3,consumption,138442,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1994-Q4,consumption,139217,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1995-Q1,consumption,140813,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1995-Q2,consumption,142565,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1995-Q3,consumption,142937,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1995-Q4,consumption,144519,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1996-Q1,consumption,145821,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1996-Q2,consumption,146735,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1996-Q3,consumption,146976,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1996-Q4,consumption,148086,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1997-Q1,consumption,149556,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1997-Q2,consumption,152049,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1997-Q3,consumption,154341,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1997-Q4,consumption,156500,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1998-Q1,consumption,156949,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
