DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2025-Q3,354377,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2026-Q2,358963,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2014-Q1,280124,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2014-Q2,281368,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2000-Q3,176368,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2001-Q2,180065,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1992-Q3,130922,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1992-Q4,131424,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1993-Q2,132347,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1993-Q3,132041,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1993-Q4,134289,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1994-Q1,135129,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1994-Q2,135863,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1998-Q3,162633,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1998-Q4,164167,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1999-Q1,167145,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2017-Q2,303776,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1977-Q4,87790,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1978-Q1,88093,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1978-Q2,90060,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1978-Q3,89861,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1978-Q4,88945,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1979-Q1,89903,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1979-Q2,90306,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1979-Q3,90435,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1979-Q4,90811,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1980-Q1,91947,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1980-Q2,92256,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1980-Q3,92979,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1980-Q4,93859,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1981-Q1,94334,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1981-Q2,96208,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1981-Q3,98493,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1982-Q1,99491,2023-2024,,F,1,A,6,AUD
