"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1984-Q3","Q3-1984","AUD","Australian Dollar","6","millions",,,225648,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1984-Q4","Q4-1984","AUD","Australian Dollar","6","millions",,,229372,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1985-Q1","Q1-1985","AUD","Australian Dollar","6","millions",,,237732,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1985-Q2","Q2-1985","AUD","Australian Dollar","6","millions",,,246884,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1985-Q3","Q3-1985","AUD","Australian Dollar","6","millions",,,253108,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1985-Q4","Q4-1985","AUD","Australian Dollar","6","millions",,,257932,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1986-Q1","Q1-1986","AUD","Australian Dollar","6","millions",,,262884,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1986-Q2","Q2-1986","AUD","Australian Dollar","6","millions",,,267508,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1986-Q3","Q3-1986","AUD","Australian Dollar","6","millions",,,272644,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1986-Q4","Q4-1986","AUD","Australian Dollar","6","millions",,,281700,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1987-Q1","Q1-1987","AUD","Australian Dollar","6","millions",,,289020,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1987-Q2","Q2-1987","AUD","Australian Dollar","6","millions",,,299496,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1987-Q3","Q3-1987","AUD","Australian Dollar","6","millions",,,309616,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1987-Q4","Q4-1987","AUD","Australian Dollar","6","millions",,,318560,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1988-Q1","Q1-1988","AUD","Australian Dollar","6","millions",,,330344,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1988-Q2","Q2-1988","AUD","Australian Dollar","6","millions",,,338424,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1988-Q3","Q3-1988","AUD","Australian Dollar","6","millions",,,350868,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1988-Q4","Q4-1988","AUD","Australian Dollar","6","millions",,,362336,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1989-Q1","Q1-1989","AUD","Australian Dollar","6","millions",,,372336,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1989-Q2","Q2-1989","AUD","Australian Dollar","6","millions",,,386552,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1989-Q3","Q3-1989","AUD","Australian Dollar","6","millions",,,393764,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1989-Q4","Q4-1989","AUD","Australian Dollar","6","millions",,,400824,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1990-Q1","Q1-1990","AUD","Australian Dollar","6","millions",,,407548,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1990-Q2","Q2-1990","AUD","Australian Dollar","6","millions",,,415764,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1990-Q3","Q3-1990","AUD","Australian Dollar","6","millions",,,413700,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1990-Q4","Q4-1990","AUD","Australian Dollar","6","millions",,,419168,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1991-Q1","Q1-1991","AUD","Australian Dollar","6","millions",,,412680,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1991-Q2","Q2-1991","AUD","Australian Dollar","6","millions",,,413988,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1991-Q3","Q3-1991","AUD","Australian Dollar","6","millions",,,416820,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1991-Q4","Q4-1991","AUD","Australian Dollar","6","millions",,,420760,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1992-Q1","Q1-1992","AUD","Australian Dollar","6","millions",,,426848,,
